FirstDepositAddr;ValidatorCount;DepositAddrCount;WithdrawalCreds;_pool
0x0cbffd5f410fdf3aa0748d055f67c3923dd8f849;164;164;1;164 x solo
0x02cc777a8e4971e1b10e6cc6066a9228d375ebcb;164;1;1;164 x solo
0x51784975a392a8f24d33f81e9d4bc7f7c6155c5f;164;1;1;164 x solo
0x3ec0977544889c0bb3115e5e8c654e24cd36e7d3;164;2;1;164 x solo
0xea552377042a48e5635c8116d0ae201514eba2bd;159;1;159;159 x solo
0x707264911aa5a38e7b4da595fe7ff1bcbd6be032;157;1;1;157 x solo
0xd99bcea3e0ab8bdb62c0170fe8bc77ff5094808b;157;1;1;157 x solo
0xdcf31307d12d042292068a292d6257af20ced84c;156;1;156;156 x solo
0xc9d3c0acc22938d735d891ec20e84e76e7c030d7;156;1;1;156 x Staked.us
0x00a8b322dc60c5228dd450e17af5fc7d721b44a3;156;9;1;156 x solo
0x1b635a0a5781d1d4262bc35ca039fe5a0ae0d899;156;1;1;156 x solo
0xabd5287049c07f38110dd0788ba464e23cc41393;155;1;1;155 x Staked.us
0xfe1d96426dbeb3e1d902318e5fdc8ba731879e7a;155;1;1;155 x solo
0xb61f7996aea938113f8114ae635e48b5b40dd2f9;150;1;1;150 x solo
0x84fabd111c71a5a0b20e5864ffcb213c7429e556;150;2;1;31 x Abyss,61 x Figment,58 x solo
0x3230807deb4da7864e6410045db6a7a7a2e08ef2;147;1;36;147 x solo
0x101cb0dfa71824dbc407e59b3cc594d7d9dc6f72;144;1;113;144 x solo
0x7badde47f41ceb2c0889091c8fc69e4d9059fb19;144;1;144;144 x solo
0x5efaefd5f8a42723bb095194c9202bf2b83d8eb6;144;1;144;144 x solo
0x71ff41bfe7bfb79e2ba77f9836b5203e6b75b2e5;144;1;113;144 x solo
0x4be833c2268376b5cb57cb9989e0a8135448fc64;144;1;144;144 x solo
0x43a0927a6361258e6cbaed415df275a412c543b5;144;1;113;144 x solo
0x4ec1123d4b948177f27bc44965503ec239197ac9;144;1;1;144 x solo
0xfcd50905214325355a57ae9df084c5dd40d5d478;144;1;113;144 x solo
0x2726268c7977ef2414f8775e4e6b344e6f7fd552;144;1;144;144 x solo
0x841faa9e56a9d8836f87e4f1b5a3f356f6018f1e;143;1;2;143 x solo
0xbc3f349cb562ef987f5a6def2acd2e149ea41bf0;142;1;1;142 x solo
0xc0e7c12756954454937943316b2ad99e4ebe11ac;142;1;142;142 x Rocketpool
0xd93aef2867144297802b41e7887c5c0d5b853fed;141;1;141;141 x Rocketpool
0x68d3081e20321c2386d038b688b045093f647e87;141;1;141;141 x Rocketpool
0xcc7244296cfef1728118ef36dc9ecc2ecc784a73;141;1;46;45 x solo,96 x Staked.us
0x73a8a1305decd9806bbc2301f4486f0cfec426cb;141;1;141;141 x solo
0x890481743319063908899151aa9dfc3a9cab6f17;140;1;140;140 x Staked.us
0x03d2634f6b03b24f835be14f8807b58e6acd14cb;140;1;140;140 x Rocketpool
0x15b040949a2fe8557630f8570f866bc9b88547bd;140;2;1;140 x solo
0x5555cfde0932c1f8eff8b1f33be4c1aabedf5d78;139;1;139;139 x Rocketpool
0x08ca48e8f0bfa41e6b4c726d17186524edac93a7;138;5;3;138 x solo
0xc3f498aea35d385dc9ca5b3e1f9dbc6fe3966567;136;4;1;136 x solo
0xd5418d3289321a68bc70184d1a5240f5154f5c07;136;1;136;136 x Rocketpool
0x8326c6456264e7f65952fcaadf0b50a7ea6c3c3a;136;1;1;136 x solo
0x07d2fdd8603dfb95ed08d14afb8e7c78a0b9c1dc;135;1;1;135 x solo
0xc436eb8aed128275c8f224de2f1dd202c0ab5830;134;1;15;134 x solo
0xe6df83d3cb817b8421e18e95650bc17a2a44593b;133;1;1;133 x solo
0x88de80e477639e9698b1489fc0d7f2f4806e801a;133;1;133;133 x solo
0x78072ba5f77d01b3f5b1098df73176933da02a7a;130;1;130;130 x Rocketpool
0xfa4a37ce44b9f602347a74af5ee618d86c240b04;130;2;1;130 x Abyss
0x7c98f2ba188d77769929f260050985ca90083d81;130;1;1;130 x solo
0xe1bd460f3540ca743b2e1065d62eabab06ddcaa9;129;1;1;129 x solo
0x2d2bfe2389b7b3779fa04d101f75a89f6a62dcd6;129;1;129;129 x Rocketpool
0xbef9124b9a1593982bb126bd97c1b8996caebade;128;1;128;128 x solo
0x37f6ebc87b0fa975c5b250cf4294c7e7afff2f2a;128;1;1;128 x solo
0x203cb0f4af5d4a3761ae69383ce67f406c59b58d;128;5;2;128 x solo
0x4013d634483f625d71a2aadb4b7d92b751250cf8;125;1;1;125 x Abyss
0x8acf47c6a7785bdb7e05ba210d324ee66d05aa93;125;1;1;125 x Staked.us
0xc0fd67ef6b02b9d79a36da4af5c1e7603ad6e1d0;125;1;1;125 x solo
0xe5200a0066e9893372e7d8a1f5dd28a9896d2e67;125;1;1;125 x solo
0xa8e625d70831c71e70dfc6c6b52f0fb1759a89ca;125;3;3;125 x solo
0x7e8eede00d0dce9a97673f143a4614a4a196eac5;125;2;1;125 x solo
0xa8c62111e4652b07110a0fc81816303c42632f64;124;2;1;124 x solo
0x76bc54198fa4a93c1767dee5c5ba5c16cf395203;124;1;1;124 x Staked.us
